Time,HR (bpm),windows
0:07:10,153,window144
0:07:11,153,window144
0:07:12,152,window145
0:07:13,151,window145
0:07:14,151,window145
0:07:15,151,window146
0:07:16,151,window146
0:07:17,151,window146
0:07:18,151,window147
0:07:19,152,window147
0:07:20,153,window147
0:07:21,153,window148
0:07:22,154,window148
0:07:23,155,window148
0:07:24,156,window149
0:07:25,157,window149
0:07:26,158,window149
0:07:27,159,window150
0:07:28,161,window150
0:07:29,161,window150
0:07:30,163,window151
0:07:31,163,window151
0:07:32,165,window151
0:07:33,166,window152
0:07:34,167,window152
0:07:35,167,window152
0:07:36,168,window153
0:07:37,169,window153
0:07:38,170,window153
0:07:39,170,window154
0:07:40,171,window154
0:07:41,172,window154
0:07:42,172,window155
0:07:43,172,window155
0:07:44,173,window155
0:07:45,173,window156
0:07:46,173,window156
0:07:47,173,window156
0:07:48,174,window157
0:07:49,174,window157
0:07:50,174,window157
0:07:51,174,window158
0:07:52,174,window158
0:07:53,175,window158
0:07:54,176,window159
0:07:55,175,window159
0:07:56,175,window159
0:07:57,175,window160
0:07:58,176,window160
0:07:59,176,window160
0:08:00,176,window161
0:08:01,176,window161
0:08:02,177,window161
0:08:03,177,window162
0:08:04,177,window162
0:08:05,177,window162
0:08:06,177,window163
0:08:07,177,window163
0:08:08,177,window163
0:08:09,177,window164
0:08:10,177,window164
0:08:11,177,window164
0:08:12,177,window165
0:08:13,177,window165
0:08:14,176,window165
0:08:15,176,window166
0:08:16,175,window166
0:08:17,175,window166
0:08:18,175,window167
0:08:19,175,window167
0:08:20,175,window167
0:08:21,174,window168
0:08:22,174,window168
0:08:23,173,window168
0:08:24,173,window169
0:08:25,173,window169
0:08:26,172,window169
0:08:27,171,window170
0:08:28,171,window170
0:08:29,170,window170
0:08:30,170,window171
0:08:31,169,window171
0:08:32,169,window171
0:08:33,168,window172
0:08:34,168,window172
0:08:35,168,window172
0:08:36,168,window173
0:08:37,168,window173
0:08:38,167,window173
0:08:39,166,window174
0:08:40,165,window174
0:08:41,164,window174
0:08:42,164,window175
0:08:43,163,window175
0:08:44,163,window175
